time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080000024456391,-3.993735861066e-11,1.0426496568588e-11,5.0955429595697e-07,-1.5286628904448e-07,-1.5286628862745e-07,5.0955429595697e-07,-1.5286628904448e-07,-1.5286628862745e-07,145507,7462,24,2
0.0003,0.0002,0.24000022012567,1.7631422050188e-12,-4.7718734272989e-12,1.5286638224622e-06,-4.585991467166e-07,-4.5859914677071e-07,1.5286638224622e-06,-4.585991467166e-07,-4.5859914677071e-07,145507,7462,11,1
0.0007,0.0004,0.56000119847867,1.4059974792961e-11,-1.1513213085469e-11,3.566886614509e-06,-1.0700659842426e-06,-1.0700659844543e-06,3.566886614509e-06,-1.0700659842426e-06,-1.0700659844543e-06,145507,7462,11,1
0.0015,0.0008,1.2000055032295,1.0885253381376e-10,6.0186601679472e-12,7.6433471541085e-06,-2.2930041456166e-06,-2.2930041464681e-06,7.6433471541085e-06,-2.2930041456166e-06,-2.2930041464681e-06,145507,7462,11,1
0.0031,0.0016,2.4800235049587,1.8068418392743e-10,-2.4147721791056e-10,1.5796328057178e-05,-4.7388984155062e-06,-4.7388984190018e-06,1.5796328057178e-05,-4.7388984155062e-06,-4.7388984190018e-06,145507,7462,11,1
0.0063,0.0032,5.0400970784737,7.1500609366792e-10,-6.4201878427088e-10,3.2102529162113e-05,-9.6307587428949e-06,-9.6307587541314e-06,3.2102529162113e-05,-9.6307587428949e-06,-9.6307587541314e-06,145507,7462,11,1
0.0127,0.0064,10.160394514539,5.2430657893491e-09,-6.237940339634e-09,6.4715888629537e-05,-1.9414766542976e-05,-1.9414766638042e-05,6.4715888629537e-05,-1.9414766542976e-05,-1.9414766638042e-05,145507,7462,11,1
0.0255,0.0128,20.401590595985,1.4541208779343e-12,2.2315169443412e-12,0.0001299464369171,-3.8983931075126e-05,-3.8983931075119e-05,0.0001299464369171,-3.8983931075126e-05,-3.8983931075119e-05,145507,7462,24,2
0.0511,0.0256,40.886388067329,2.3628378826635e-11,2.5625736508758e-11,0.00026042285393194,-7.8126856179507e-05,-7.8126856179491e-05,0.0002604228539325,-7.8126856179725e-05,-7.8126856179836e-05,145507,7462,24,2
0.1023,0.0512,80.024469305043,-1.2319870160235e-10,2.0512003870555e-10,0.00050970999557337,-0.00015291299867323,-0.00015291299867052,0.00050971113991296,-0.00015291344184809,-0.00015291369983525,145507,7462,25,2
0.2047,0.1024,80.02446950492,-1.9152750168762e-08,7.6199902525526e-09,0.00050970999686866,-0.00015291299919054,-0.00015291299896885,0.00050971342982359,-0.00015291432868647,-0.00015291510242785,145507,7462,38,3
0.4095,0.2048,80.024469851481,1.3487479701342e-12,4.5883311256337e-13,0.00050970999905401,-0.0001529129997162,-0.00015291299971621,0.00050971800898871,-0.0001529161017415,-0.0001529179076256,145507,7462,12,1
0.8191,0.4096,80.024470584158,4.4404122306191e-12,-4.8924097872981e-13,0.00050971000372074,-0.0001529130011162,-0.00015291300111624,0.00050972716661175,-0.0001529196477493,-0.00015292351737415,145507,7462,13,1
1.6383,0.8192,80.024472049212,-3.9206611048004e-12,-1.3688585191025e-11,0.00050971001305234,-0.00015291300391569,-0.00015291300391577,0.00050974547784579,-0.00015292673796178,-0.00015293473466313,145507,7462,12,1
3.2767,1.6384,80.024474978019,4.8099854448817e-12,-9.7827732432843e-11,0.00050971003170731,-0.00015291300951192,-0.00015291300951277,0.00050978208428678,-0.00015294091118332,-0.00015295716042085,145507,7462,12,1
6.5535,3.2768,80.024480830477,4.8528467323176e-11,-3.7558582719616e-10,0.00050971006898455,-0.00015291302069415,-0.00015291302069766,0.00050985523323495,-0.00015296922889109,-0.00015300197675112,145507,7462,12,1
13.1071,6.5536,80.024492515228,-6.8269947312537e-10,-1.0927168165534e-09,0.00050971014341249,-0.00015291304302499,-0.00015291304302838,0.00051000127681424,-0.00015302574999551,-0.00015309146945962,145507,7462,12,1
26.2143,13.1072,80.024515802084,-2.079246291635e-09,-3.2618109279108e-09,0.00050971029174323,-0.00015291308752692,-0.00015291308753671,0.00051029235993895,-0.00015313834078979,-0.00015326990246956,145507,7462,24,2
52.4287,26.2144,80.024562059929,-8.2127072464737e-09,-1.2888651595641e-08,0.0005097105864093,-0.00015291317593838,-0.00015291317597709,0.00051087060324115,-0.00015336175811527,-0.00015362461063204,145507,7462,25,2
104.8575,52.4288,80.024653363732,-3.1958867551495e-08,-5.0147919633276e-08,0.00050971116807875,-0.00015291335048429,-0.0001529133506349,0.00051201208944674,-0.0001538018429563,-0.00015432577953088,145507,7462,24,2
209.7151,104.8576,80.024831516601,-1.2116062005074e-07,-1.9043127679093e-07,0.00050971230324891,-0.0001529136912039,-0.00015291369177747,0.00051423990556372,-0.00015465718056022,-0.00015569780473596,145507,7462,26,2
419.4303,209.7152,80.025172491087,-4.3996676949223e-07,-6.9274621760339e-07,0.00050971447662994,-0.00015291434381827,-0.00015291434591135,0.00051850561912562,-0.0001562823780678,-0.00015833745415751,145507,7462,26,2
838.8607,419.4304,80.025806668784,-1.4963737264145e-06,-2.3569460764414e-06,0.00050971852117694,-0.0001529155591715,-0.00015291556629726,0.00052644479124457,-0.00015926726765793,-0.00016329012787846,145507,7462,26,2
1677.7215,838.8608,80.026944510736,-4.5980061440382e-06,-7.3473762136414e-06,0.00050972578404045,-0.00015291774361156,-0.00015291776637704,0.00054070314545647,-0.00016452142715087,-0.00017229144425374,145507,7462,42,3
3355.4431,1677.7216,80.028912362674,-1.2634119716415e-05,-2.0430885190451e-05,0.00050973835848519,-0.00015292153002329,-0.00015292159458249,0.0005653922002386,-0.00017340455518992,-0.00018809241116927,145507,7462,45,3
6710.8863,3355.4432,80.032209371773,-3.0717506601774e-05,-4.9938391441739e-05,0.00050975944948116,-0.00015292788883771,-0.00015292804799154,0.00060681191405606,-0.00018804245222023,-0.00021486594918391,145507,7462,47,3
13421.7727,6710.8864,80.037578688631,-6.7333245619028e-05,-0.00010680862474283,0.00050979382758721,-0.00015293827323088,-0.00015293860009707,0.00067435442066409,-0.00021181409944921,-0.00025862336695562,145507,7462,51,3
26843.5455,13421.7728,80.04606385094,-0.00013727312122491,-0.00020339583500928,0.00050984819141163,-0.00015295474783218,-0.0001529552953451,0.00078121632477009,-0.00024958415339052,-0.00032769402314522,145507,7462,50,3
53687.0911,26843.5456,80.059134345234,-0.00025919825149778,-0.00035066173122483,0.0005099319573454,-0.00015298021849237,-0.00015298097583329,0.00094592469100607,-0.00030785489951645,-0.00043409902846988,145507,7462,57,3
107374.1823,53687.0912,80.079009762564,-0.00043566830668285,-0.00054660876064055,0.00051005926398525,-0.00015301894658884,-0.00015301986520406,0.0011961995627044,-0.00039576972859323,-0.00059640938191882,145507,7462,65,3
214748.3647,107374.1824,80.108851127407,-0.00064064383748508,-0.00077035780035056,0.00051025015559171,-0.00015307684633579,-0.00015307792040045,0.0015712220947236,-0.00052609189624602,-0.00084103480962207,145507,7462,76,3
429496.7295,214748.3648,80.152661075069,-0.00083797484485104,-0.00099129356547911,0.0005105299990802,-0.00015316139432673,-0.00015316266384479,0.0021204841977698,-0.00071511529727652,-0.0012011629595846,145507,7462,104,3
858993.4591,429496.7296,80.215288441121,-0.0010009574954788,-0.0011867506053263,0.00051092958441753,-0.00015328172907421,-0.00015328326748849,0.0029039234615122,-0.00098293768792317,-0.0017166211857342,145507,7462,133,4
1717986.9183,858993.4592,80.303081860518,-0.001115094796719,-0.001345096332845,0.00051148929883985,-0.00015344991161817,-0.00015345181608948,0.0040000238158816,-0.0013565191557863,-0.0024389170889631,145507,7462,167,4
3435973.8367,1717986.9184,80.425793305326,-0.0011750971587767,-0.0014688614247198,0.00051227125154714,-0.0001536845377728,-0.00015368697021576,0.0055291637548423,-0.0018777968785105,-0.0034464671327732,145507,7462,175,4
6871947.6735,3435973.8368,80.600818993654,-0.0011774371906039,-0.0015681815868867,0.00051338625910374,-0.00015401880688414,-0.0001540220423473,0.0077055679705842,-0.0026214464465485,-0.0048787761141634,145507,7462,283,4
13743895.3471,6871947.6736,80.86314831567,-0.0011063621812462,-0.0016555927983412,0.00051505717772079,-0.0001545194533697,-0.00015452400113914,0.010958537368217,-0.0037366157447224,-0.0070159079002822,145507,7462,265,4
18743895.3471,5000000,81.031940611959,-0.00104859850136,-0.0016955691108224,0.00051613225389964,-0.00015484154211055,-0.00015484689919203,0.013045075150473,-0.0044533714766194,-0.0083852598612569,145507,7462,206,3
23743895.3471,5000000,81.188257874358,-0.00098981845448365,-0.0017266785907002,0.0005171278523788,-0.00015513980367634,-0.000155145905066,0.014973198394046,-0.0051168000434272,-0.0096495562069819,145507,7462,232,4
28743895.3471,5000000,81.337138158878,-0.00093011703228196,-0.0017527208970786,0.00051807607012902,-0.00015542385827023,-0.00015543066963981,0.016805876377499,-0.0057481754894002,-0.01085047934588,145507,7462,219,4
33743895.3471,5000000,81.481568465084,-0.00086951546382785,-0.0017756770067887,0.00051899593645112,-0.00015569940988463,-0.00015570691313308,0.018580336518206,-0.006360115928511,-0.012012630976261,145507,7462,229,3
36000000,2256104.6529,81.546072855507,-0.00084284758375963,-0.0017846831001099,0.00051940675869244,-0.00015582247961341,-0.00015583027825145,0.019371575341088,-0.0066330873994943,-0.012530733940766,145507,7462,94,3
