block_id,cauchy_stress_xx,elastic_strain_xx,id,mechanical_strain_xx,orientation_q1,orientation_q2,orientation_q3,orientation_q4,strain_xx,volume
1.0,722.09,0.0034982,0.0,0.0054937,0.43348,-0.13372,0.87021,0.19223,0.0054937,5489.8
1.0,712.31,0.0034604,1.0,0.0053613,0.4336,-0.13369,0.87017,0.19217,0.0053613,7537.7
1.0,720.63,0.0035582,2.0,0.0056632,0.43365,-0.13388,0.87006,0.19241,0.0056632,4186.4
1.0,704.38,0.0035053,3.0,0.0054977,0.4337,-0.13373,0.87007,0.19235,0.0054977,6697.4
1.0,735.52,0.0036066,4.0,0.0057637,0.4336,-0.13388,0.87008,0.1924,0.0057637,3758.5
1.0,719.67,0.0035609,5.0,0.0056113,0.43369,-0.13376,0.87007,0.19235,0.0056113,6598.5
1.0,730.53,0.0036178,6.0,0.005765,0.43361,-0.1339,0.87008,0.19241,0.005765,4256.3
1.0,711.48,0.0035572,7.0,0.0055763,0.43372,-0.13375,0.87006,0.19234,0.0055763,6798.6
1.0,699.38,0.0034201,8.0,0.005184,0.43379,-0.13363,0.86999,0.19255,0.005184,5571.2
1.0,694.42,0.0033977,9.0,0.00513,0.43381,-0.13357,0.86999,0.19256,0.00513,7546.2
1.0,696.26,0.0033827,10.0,0.0050808,0.43394,-0.13349,0.86996,0.19249,0.0050808,5326.2
1.0,711.4,0.0035337,11.0,0.0054767,0.43396,-0.1336,0.86999,0.19222,0.0054767,4190.7
1.0,715.71,0.0035274,12.0,0.0054956,0.43392,-0.13362,0.87,0.19224,0.0054956,3763.3
1.0,704.51,0.0034821,13.0,0.0053907,0.43389,-0.13356,0.87002,0.19224,0.0053907,4180.6
1.0,707.95,0.0034276,14.0,0.0052446,0.43384,-0.13363,0.87007,0.19209,0.0052446,5369.7
1.0,707.2,0.0035136,15.0,0.0059007,0.43323,-0.13374,0.87028,0.19245,0.0059007,9563.5
1.0,716.94,0.0035627,16.0,0.0058512,0.43345,-0.1339,0.87012,0.19257,0.0058512,8002.2
1.0,718.46,0.0035353,17.0,0.0056906,0.43348,-0.13361,0.87024,0.19218,0.0056906,7681.7
1.0,703.71,0.0035476,18.0,0.005701,0.43364,-0.13374,0.87009,0.1924,0.005701,4438.7
1.0,720.18,0.0035119,19.0,0.0054872,0.43356,-0.13368,0.87019,0.19217,0.0054872,9951.6
1.0,719.48,0.0035727,20.0,0.0055537,0.43364,-0.13364,0.87011,0.19238,0.0055537,7128.7
1.0,698.22,0.0034622,21.0,0.0053768,0.43375,-0.13377,0.87008,0.19216,0.0053768,7694.3
1.0,684.14,0.00347,22.0,0.005219,0.43374,-0.13349,0.8701,0.1923,0.005219,4637.5
1.0,675.85,0.0034311,23.0,0.0052735,0.43394,-0.13362,0.87002,0.1921,0.0052735,8538.3
1.0,675.37,0.0034344,24.0,0.0051143,0.43389,-0.13327,0.87009,0.19214,0.0051143,7107.0
1.0,675.07,0.0034393,25.0,0.0051364,0.43395,-0.13334,0.87005,0.19214,0.0051364,7297.8
1.0,679.25,0.0034747,26.0,0.0051977,0.43403,-0.13332,0.87002,0.1921,0.0051977,7217.6
1.0,703.76,0.0035207,27.0,0.0052976,0.43377,-0.13353,0.87008,0.1923,0.0052976,4144.2
1.0,742.12,0.0036306,28.0,0.0056435,0.43363,-0.13367,0.8701,0.19239,0.0056435,6961.9
1.0,684.6,0.0035021,29.0,0.0052599,0.43382,-0.13354,0.87005,0.19229,0.0052599,4302.1
1.0,720.84,0.0036059,30.0,0.0055926,0.43365,-0.13367,0.8701,0.19239,0.0055926,7048.1
1.0,705.62,0.0035261,31.0,0.0053301,0.43377,-0.13359,0.86998,0.19269,0.0053301,7498.9
1.0,721.32,0.0035586,32.0,0.0053856,0.43375,-0.1335,0.87001,0.19269,0.0053856,10012.0
1.0,679.52,0.0034708,33.0,0.0052474,0.43385,-0.13345,0.87001,0.19247,0.0052474,8671.6
1.0,714.82,0.0035857,34.0,0.0055731,0.43381,-0.13346,0.87,0.1926,0.0055731,7814.4
1.0,692.87,0.0035221,35.0,0.0056785,0.43361,-0.13369,0.87004,0.19271,0.0056785,9446.5
1.0,704.17,0.0035774,36.0,0.005739,0.43355,-0.13373,0.87012,0.19243,0.005739,4528.7
1.0,725.2,0.0036024,37.0,0.0059533,0.43329,-0.13387,0.8702,0.19261,0.0059533,7928.7
1.0,725.72,0.0035928,38.0,0.0057393,0.43359,-0.13374,0.87011,0.19242,0.0057393,4220.2
1.0,719.98,0.0035581,39.0,0.0058053,0.43338,-0.13384,0.87017,0.19255,0.0058053,8094.8
2.0,642.56,0.0029379,40.0,0.0070997,0.054802,-0.010043,0.96568,-0.25368,0.0070997,16643.0
2.0,641.86,0.0029804,41.0,0.0075205,0.05438,-0.0099434,0.96571,-0.25368,0.0075205,16725.0
2.0,689.58,0.0030872,42.0,0.0078902,0.054573,-0.0091318,0.96565,-0.25389,0.0078902,13286.0
2.0,660.68,0.0029617,43.0,0.0070139,0.054522,-0.01031,0.96572,-0.2536,0.0070139,16409.0
2.0,667.37,0.0030234,44.0,0.0075702,0.05428,-0.010108,0.96574,-0.25355,0.0075702,19184.0
2.0,699.08,0.0030794,45.0,0.0076416,0.054268,-0.0092546,0.96568,-0.25385,0.0076416,13141.0
2.0,647.63,0.0029256,46.0,0.0068794,0.05452,-0.010327,0.96572,-0.25358,0.0068794,16364.0
2.0,654.28,0.0029796,47.0,0.0073836,0.054254,-0.010126,0.96575,-0.25354,0.0073836,20240.0
2.0,679.61,0.0030259,48.0,0.0074143,0.054282,-0.009255,0.96568,-0.25383,0.0074143,13080.0
2.0,665.01,0.0029805,49.0,0.0070976,0.054444,-0.010322,0.96574,-0.25353,0.0070976,16409.0
2.0,668.85,0.0030335,50.0,0.007623,0.054176,-0.01013,0.96577,-0.25347,0.007623,19173.0
2.0,700.47,0.0030862,51.0,0.0076733,0.054221,-0.0092504,0.96569,-0.25379,0.0076733,13141.0
2.0,638.69,0.0029404,52.0,0.0070912,0.054067,-0.01015,0.96579,-0.25343,0.0070912,16643.0
2.0,641.18,0.0029829,53.0,0.0075262,0.054007,-0.0099562,0.96583,-0.25329,0.0075262,16745.0
2.0,690.36,0.0031022,54.0,0.0079624,0.053876,-0.0092265,0.96573,-0.25374,0.0079624,13286.0
2.0,681.7,0.0031032,55.0,0.0081877,0.054043,-0.0092165,0.96573,-0.2537,0.0081877,14896.0
2.0,698.03,0.0031149,56.0,0.0080589,0.054214,-0.0093776,0.96569,-0.25381,0.0080589,15449.0
2.0,674.33,0.0030413,57.0,0.0077211,0.054312,-0.0093558,0.96567,-0.25385,0.0077211,15689.0
2.0,697.81,0.0031093,58.0,0.0080263,0.054342,-0.0093307,0.96566,-0.25387,0.0080263,15466.0
2.0,680.7,0.0031005,59.0,0.0081784,0.0544,-0.009212,0.96564,-0.25396,0.0081784,14885.0
2.0,654.76,0.003037,60.0,0.0079357,0.054025,-0.0099948,0.96588,-0.25309,0.0079357,15953.0
2.0,664.94,0.0030723,61.0,0.0081868,0.054413,-0.010945,0.96587,-0.25302,0.0081868,11525.0
2.0,673.69,0.0030718,62.0,0.008022,0.054064,-0.010155,0.9658,-0.25339,0.008022,17904.0
2.0,681.03,0.0031033,63.0,0.0082956,0.054322,-0.010867,0.96578,-0.25337,0.0082956,13217.0
2.0,668.07,0.00304,64.0,0.0078605,0.054116,-0.010152,0.96578,-0.25346,0.0078605,18799.0
2.0,681.84,0.0030909,65.0,0.008212,0.054299,-0.010826,0.96576,-0.25345,0.008212,13632.0
2.0,676.16,0.003077,66.0,0.0080491,0.054116,-0.010136,0.96577,-0.25349,0.0080491,17914.0
2.0,684.46,0.0031127,67.0,0.0083355,0.054235,-0.010876,0.96576,-0.25348,0.0083355,13225.0
2.0,651.18,0.0030267,68.0,0.0078779,0.054074,-0.010058,0.96573,-0.25367,0.0078779,15931.0
2.0,659.9,0.00306,69.0,0.0081183,0.054112,-0.011079,0.96572,-0.25366,0.0081183,11527.0
2.0,648.7,0.0030023,70.0,0.0076461,0.054068,-0.011631,0.96573,-0.25359,0.0076461,15578.0
2.0,650.53,0.0029508,71.0,0.0070297,0.053746,-0.011042,0.96574,-0.25365,0.0070297,15862.0
2.0,662.28,0.003009,72.0,0.007531,0.054306,-0.011323,0.96575,-0.25346,0.007531,16962.0
2.0,654.02,0.0029334,73.0,0.0068074,0.054089,-0.010771,0.96574,-0.25358,0.0068074,17739.0
2.0,655.69,0.0029851,74.0,0.0074505,0.054383,-0.011242,0.96575,-0.25346,0.0074505,17518.0
2.0,647.93,0.0029181,75.0,0.0067932,0.053824,-0.010225,0.96574,-0.25365,0.0067932,18218.0
2.0,664.62,0.0030175,76.0,0.0075978,0.054471,-0.011305,0.96576,-0.2534,0.0075978,16886.0
2.0,661.23,0.002953,77.0,0.0069216,0.054225,-0.010745,0.96574,-0.25355,0.0069216,17655.0
2.0,644.57,0.0029873,78.0,0.0075957,0.054681,-0.011547,0.96582,-0.25313,0.0075957,15591.0
2.0,639.94,0.0029222,79.0,0.0069622,0.054557,-0.010956,0.96576,-0.25339,0.0069622,15841.0
2.0,699.18,0.0030968,80.0,0.007784,0.054373,-0.010914,0.96573,-0.25356,0.007784,11891.0
2.0,698.34,0.0030624,81.0,0.0074978,0.054139,-0.010829,0.96572,-0.25366,0.0074978,12820.0
2.0,679.0,0.0030165,82.0,0.0073114,0.054036,-0.010863,0.96572,-0.25368,0.0073114,13073.0
2.0,694.5,0.0030548,83.0,0.0074328,0.053971,-0.01087,0.96572,-0.2537,0.0074328,12849.0
2.0,696.73,0.0030747,84.0,0.0075998,0.053727,-0.010961,0.9657,-0.25379,0.0075998,11901.0
2.0,650.7,0.0028231,85.0,0.006007,0.055178,-0.010656,0.96567,-0.2536,0.006007,15824.0
2.0,697.48,0.0030026,86.0,0.0069497,0.054755,-0.0087781,0.96565,-0.25385,0.0069497,12827.0
2.0,646.22,0.0028248,87.0,0.0059436,0.054667,-0.010945,0.96571,-0.25357,0.0059436,15264.0
2.0,681.57,0.0029707,88.0,0.0067504,0.054234,-0.0089472,0.96569,-0.25382,0.0067504,12708.0
2.0,657.45,0.0028466,89.0,0.005971,0.05472,-0.010956,0.96571,-0.25355,0.005971,15175.0
2.0,687.0,0.0029768,90.0,0.0067167,0.054303,-0.0089311,0.96569,-0.25379,0.0067167,12646.0
2.0,653.5,0.002843,91.0,0.0059832,0.054673,-0.010943,0.96572,-0.25352,0.0059832,15264.0
2.0,685.64,0.0029779,92.0,0.0067514,0.054284,-0.0089091,0.9657,-0.25376,0.0067514,12708.0
2.0,645.16,0.0028462,93.0,0.006106,0.054118,-0.010871,0.96576,-0.25349,0.006106,15824.0
2.0,696.69,0.003037,94.0,0.0071172,0.053805,-0.0089867,0.96573,-0.25374,0.0071172,12827.0
2.0,688.36,0.0031075,95.0,0.0081333,0.054293,-0.0092573,0.96562,-0.25405,0.0081333,13128.0
2.0,692.66,0.0031181,96.0,0.0083009,0.054402,-0.0092313,0.96565,-0.25393,0.0083009,13141.0
2.0,589.68,0.0028392,97.0,0.0070209,0.05415,-0.010181,0.96573,-0.25363,0.0070209,11294.0
2.0,620.15,0.00291,98.0,0.0072744,0.054293,-0.010216,0.96578,-0.25342,0.0072744,10046.0
2.0,575.01,0.0027692,99.0,0.0064983,0.054159,-0.011138,0.96573,-0.2536,0.0064983,10161.0
2.0,586.01,0.0028078,100.0,0.0067428,0.054255,-0.011058,0.96579,-0.25335,0.0067428,10403.0
2.0,658.28,0.003003,101.0,0.0074759,0.053623,-0.010894,0.9657,-0.25382,0.0074759,10042.0
2.0,663.47,0.0030087,102.0,0.0074703,0.053719,-0.010764,0.96575,-0.25362,0.0074703,9333.3
2.0,695.45,0.0030464,103.0,0.0073785,0.053817,-0.010592,0.96568,-0.25388,0.0073785,9564.4
2.0,693.01,0.0030607,104.0,0.0075203,0.053866,-0.010665,0.96571,-0.25375,0.0075203,10169.0
2.0,685.57,0.0030446,105.0,0.0075068,0.053998,-0.010685,0.9657,-0.25375,0.0075068,10447.0
2.0,695.31,0.0030651,106.0,0.0075865,0.05412,-0.010569,0.9657,-0.25374,0.0075865,10257.0
2.0,658.99,0.0029956,107.0,0.0074382,0.05382,-0.010705,0.96574,-0.25363,0.0074382,9079.0
2.0,592.41,0.0028169,108.0,0.0067621,0.054295,-0.011018,0.96579,-0.25336,0.0067621,10646.0
2.0,666.7,0.0030141,109.0,0.007465,0.053938,-0.010697,0.96573,-0.25364,0.007465,9242.9
2.0,588.35,0.0028125,110.0,0.0067454,0.054314,-0.011041,0.96578,-0.25335,0.0067454,10371.0
2.0,648.93,0.002977,111.0,0.0074139,0.054025,-0.010908,0.96582,-0.25329,0.0074139,10109.0
2.0,577.68,0.0027652,112.0,0.0065147,0.054429,-0.01107,0.96589,-0.25293,0.0065147,10182.0
2.0,699.06,0.0030698,113.0,0.0075103,0.054156,-0.010658,0.96574,-0.25357,0.0075103,9685.1
2.0,597.49,0.0028499,114.0,0.0070827,0.054262,-0.010072,0.96587,-0.25307,0.0070827,11191.0
2.0,686.36,0.0030917,115.0,0.0080492,0.054275,-0.0092008,0.96572,-0.25369,0.0080492,13226.0
2.0,621.49,0.002913,116.0,0.0072667,0.054166,-0.010263,0.96579,-0.25341,0.0072667,9910.5
2.0,692.68,0.0031224,117.0,0.0083122,0.05421,-0.0093282,0.96567,-0.25389,0.0083122,13203.0
2.0,609.42,0.0028754,118.0,0.0071504,0.054258,-0.010247,0.96578,-0.25342,0.0071504,10079.0
2.0,683.08,0.003085,119.0,0.0081316,0.054322,-0.0092245,0.96566,-0.25391,0.0081316,12915.0
2.0,658.79,0.0028518,120.0,0.0059563,0.053602,-0.01049,0.96576,-0.25363,0.0059563,15460.0
2.0,700.03,0.0030013,121.0,0.0068271,0.053736,-0.011287,0.96572,-0.25371,0.0068271,10958.0
2.0,642.43,0.0028061,122.0,0.0057745,0.054058,-0.010269,0.96574,-0.2536,0.0057745,15405.0
2.0,681.03,0.0029516,123.0,0.0066039,0.054133,-0.011127,0.96571,-0.25366,0.0066039,11326.0
2.0,652.52,0.002829,124.0,0.0058387,0.054044,-0.010252,0.96575,-0.25359,0.0058387,15377.0
2.0,680.97,0.0029478,125.0,0.0065643,0.054138,-0.011134,0.96572,-0.25363,0.0065643,11374.0
2.0,653.09,0.0028272,126.0,0.0058534,0.054097,-0.010233,0.96575,-0.25357,0.0058534,15405.0
2.0,684.78,0.0029562,127.0,0.0066286,0.054197,-0.011126,0.96573,-0.2536,0.0066286,11326.0
2.0,645.19,0.0028246,128.0,0.0060084,0.054609,-0.010337,0.96573,-0.25352,0.0060084,15461.0
2.0,703.57,0.0030302,129.0,0.0070813,0.054615,-0.011136,0.96571,-0.25355,0.0070813,10955.0
3.0,638.37,0.003174,130.0,0.0040745,0.0,0.0,0.0,0.0,0.0040745,13488.0
3.0,638.86,0.0031965,131.0,0.0041398,0.0,0.0,0.0,0.0,0.0041398,12883.0
3.0,716.15,0.0034608,132.0,0.0047014,0.0,0.0,0.0,0.0,0.0047014,13488.0
3.0,626.24,0.0031413,133.0,0.004024,0.0,0.0,0.0,0.0,0.004024,13886.0
3.0,625.4,0.0031644,134.0,0.0040977,0.0,0.0,0.0,0.0,0.0040977,13060.0
3.0,698.53,0.0034052,135.0,0.0045838,0.0,0.0,0.0,0.0,0.0045838,13886.0
3.0,633.18,0.0031849,136.0,0.0041505,0.0,0.0,0.0,0.0,0.0041505,13955.0
3.0,636.61,0.0032165,137.0,0.0042339,0.0,0.0,0.0,0.0,0.0042339,13099.0
3.0,704.61,0.0034394,138.0,0.0046918,0.0,0.0,0.0,0.0,0.0046918,13955.0
3.0,609.97,0.0030797,139.0,0.0038943,0.0,0.0,0.0,0.0,0.0038943,13886.0
3.0,612.18,0.0031145,140.0,0.0039918,0.0,0.0,0.0,0.0,0.0039918,13060.0
3.0,688.3,0.0033588,141.0,0.0044639,0.0,0.0,0.0,0.0,0.0044639,13886.0
3.0,653.92,0.0031743,142.0,0.0040005,0.0,0.0,0.0,0.0,0.0040005,13488.0
3.0,651.8,0.0032002,143.0,0.0040917,0.0,0.0,0.0,0.0,0.0040917,12883.0
3.0,724.41,0.0034506,144.0,0.0046162,0.0,0.0,0.0,0.0,0.0046162,13488.0
3.0,723.31,0.0034623,145.0,0.0046687,0.0,0.0,0.0,0.0,0.0046687,12883.0
3.0,718.77,0.0034908,146.0,0.0048147,0.0,0.0,0.0,0.0,0.0048147,12117.0
3.0,688.44,0.0033698,147.0,0.0045049,0.0,0.0,0.0,0.0,0.0045049,13060.0
3.0,686.64,0.003397,148.0,0.0046201,0.0,0.0,0.0,0.0,0.0046201,11940.0
3.0,705.08,0.0034457,149.0,0.0047127,0.0,0.0,0.0,0.0,0.0047127,13099.0
3.0,703.33,0.0034625,150.0,0.0047882,0.0,0.0,0.0,0.0,0.0047882,11902.0
3.0,696.65,0.0034076,151.0,0.0046035,0.0,0.0,0.0,0.0,0.0046035,13060.0
3.0,691.09,0.0034206,152.0,0.0046867,0.0,0.0,0.0,0.0,0.0046867,11940.0
3.0,716.19,0.0034663,153.0,0.0047221,0.0,0.0,0.0,0.0,0.0047221,12883.0
3.0,713.89,0.0034816,154.0,0.004798,0.0,0.0,0.0,0.0,0.004798,12117.0
3.0,642.04,0.0032415,155.0,0.0042728,0.0,0.0,0.0,0.0,0.0042728,12117.0
3.0,626.8,0.0032118,156.0,0.0042493,0.0,0.0,0.0,0.0,0.0042493,11940.0
3.0,644.35,0.0032727,157.0,0.0043876,0.0,0.0,0.0,0.0,0.0043876,11902.0
3.0,619.56,0.003182,158.0,0.0041823,0.0,0.0,0.0,0.0,0.0041823,11940.0
3.0,649.82,0.0032532,159.0,0.0042873,0.0,0.0,0.0,0.0,0.0042873,12117.0
3.0,651.28,0.0032997,160.0,0.0044328,0.0,0.0,0.0,0.0,0.0044328,11512.0
3.0,705.45,0.0035395,161.0,0.0051368,0.0,0.0,0.0,0.0,0.0051368,11512.0
3.0,634.85,0.0032762,162.0,0.0044428,0.0,0.0,0.0,0.0,0.0044428,11114.0
3.0,679.96,0.0034841,163.0,0.0050544,0.0,0.0,0.0,0.0,0.0050544,11114.0
3.0,657.18,0.003335,164.0,0.0045483,0.0,0.0,0.0,0.0,0.0045483,11044.0
3.0,695.34,0.003522,165.0,0.0051207,0.0,0.0,0.0,0.0,0.0051207,11044.0
3.0,636.41,0.0032707,166.0,0.0044156,0.0,0.0,0.0,0.0,0.0044156,11114.0
3.0,680.92,0.0034762,167.0,0.0050163,0.0,0.0,0.0,0.0,0.0050163,11114.0
3.0,651.31,0.0033257,168.0,0.0045684,0.0,0.0,0.0,0.0,0.0045684,11512.0
3.0,706.98,0.0035715,169.0,0.0052875,0.0,0.0,0.0,0.0,0.0052875,11512.0
4.0,650.08,0.0032639,170.0,0.0043106,0.0,0.0,0.0,0.0,0.0043106,12041.0
4.0,645.75,0.0032167,171.0,0.0041701,0.0,0.0,0.0,0.0,0.0041701,12834.0
4.0,715.85,0.0034806,172.0,0.0047816,0.0,0.0,0.0,0.0,0.0047816,12048.0
4.0,627.43,0.003197,173.0,0.0041907,0.0,0.0,0.0,0.0,0.0041907,11863.0
4.0,625.72,0.0031512,174.0,0.0040471,0.0,0.0,0.0,0.0,0.0040471,13029.0
4.0,687.67,0.0033915,175.0,0.00459,0.0,0.0,0.0,0.0,0.00459,11900.0
4.0,639.84,0.0032438,176.0,0.0043017,0.0,0.0,0.0,0.0,0.0043017,11825.0
4.0,632.47,0.0031885,177.0,0.0041509,0.0,0.0,0.0,0.0,0.0041509,13075.0
4.0,694.08,0.0034171,178.0,0.0046581,0.0,0.0,0.0,0.0,0.0046581,11875.0
4.0,624.56,0.003186,179.0,0.0041689,0.0,0.0,0.0,0.0,0.0041689,11863.0
4.0,616.53,0.0031206,180.0,0.0039892,0.0,0.0,0.0,0.0,0.0039892,13029.0
4.0,684.64,0.003379,181.0,0.00456,0.0,0.0,0.0,0.0,0.00456,11900.0
4.0,650.74,0.0032487,182.0,0.0042631,0.0,0.0,0.0,0.0,0.0042631,12041.0
4.0,653.02,0.0031994,183.0,0.0040818,0.0,0.0,0.0,0.0,0.0040818,12834.0
4.0,720.86,0.0034926,184.0,0.0048084,0.0,0.0,0.0,0.0,0.0048084,12048.0
4.0,724.94,0.0034647,185.0,0.0046683,0.0,0.0,0.0,0.0,0.0046683,12837.0
4.0,725.81,0.0034532,186.0,0.0046179,0.0,0.0,0.0,0.0,0.0046179,13481.0
4.0,686.59,0.0033542,187.0,0.0044548,0.0,0.0,0.0,0.0,0.0044548,13056.0
4.0,686.63,0.0033446,188.0,0.0044188,0.0,0.0,0.0,0.0,0.0044188,13924.0
4.0,696.53,0.0034009,189.0,0.0045831,0.0,0.0,0.0,0.0,0.0045831,13110.0
4.0,696.48,0.0033951,190.0,0.0045619,0.0,0.0,0.0,0.0,0.0045619,14005.0
4.0,693.05,0.0033788,191.0,0.0045109,0.0,0.0,0.0,0.0,0.0045109,13056.0
4.0,694.97,0.0033767,192.0,0.0044929,0.0,0.0,0.0,0.0,0.0044929,13924.0
4.0,719.51,0.0034704,193.0,0.0047177,0.0,0.0,0.0,0.0,0.0047177,12837.0
4.0,720.15,0.0034676,194.0,0.0047033,0.0,0.0,0.0,0.0,0.0047033,13481.0
4.0,644.7,0.0031927,195.0,0.0041006,0.0,0.0,0.0,0.0,0.0041006,13480.0
4.0,626.22,0.0031282,196.0,0.0039755,0.0,0.0,0.0,0.0,0.0039755,13903.0
4.0,629.24,0.0031575,197.0,0.0040689,0.0,0.0,0.0,0.0,0.0040689,13976.0
4.0,613.78,0.0030862,198.0,0.0038951,0.0,0.0,0.0,0.0,0.0038951,13903.0
4.0,655.33,0.0031757,199.0,0.0039976,0.0,0.0,0.0,0.0,0.0039976,13480.0
4.0,661.27,0.0033258,200.0,0.0044798,0.0,0.0,0.0,0.0,0.0044798,11647.0
4.0,705.26,0.0035319,201.0,0.0051105,0.0,0.0,0.0,0.0,0.0051105,11639.0
4.0,635.22,0.0032579,202.0,0.0043695,0.0,0.0,0.0,0.0,0.0043695,11204.0
4.0,677.28,0.0034552,203.0,0.0049432,0.0,0.0,0.0,0.0,0.0049432,11116.0
4.0,652.49,0.0033071,204.0,0.0044642,0.0,0.0,0.0,0.0,0.0044642,11124.0
4.0,685.24,0.0034755,205.0,0.004977,0.0,0.0,0.0,0.0,0.004977,11008.0
4.0,641.71,0.0032705,206.0,0.0043826,0.0,0.0,0.0,0.0,0.0043826,11204.0
4.0,679.21,0.0034557,207.0,0.0049351,0.0,0.0,0.0,0.0,0.0049351,11116.0
4.0,652.1,0.003319,208.0,0.004528,0.0,0.0,0.0,0.0,0.004528,11647.0
4.0,709.38,0.0035716,209.0,0.0052688,0.0,0.0,0.0,0.0,0.0052688,11639.0
